,one_hot_encoder__Residential Instability quintiles_1,one_hot_encoder__Residential Instability quintiles_2,one_hot_encoder__Residential Instability quintiles_3,one_hot_encoder__Residential Instability quintiles_4,one_hot_encoder__Residential Instability quintiles_5,one_hot_encoder__Material Deprivation quintiles_1,one_hot_encoder__Material Deprivation quintiles_2,one_hot_encoder__Material Deprivation quintiles_3,one_hot_encoder__Material Deprivation quintiles_4,one_hot_encoder__Material Deprivation quintiles_5,one_hot_encoder__Ethnic Concentration quintiles_1,one_hot_encoder__Ethnic Concentration quintiles_2,one_hot_encoder__Ethnic Concentration quintiles_3,one_hot_encoder__Ethnic Concentration quintiles_4,one_hot_encoder__Ethnic Concentration quintiles_5,remainder__Mental Health Score,remainder__Mental Health Binary,remainder__High Education Rate,remainder__Rented Rate,remainder__Visible Minority Rate,remainder__Visible Minority Binary,remainder__Work Stress Score,remainder__Work Stress binary,remainder__Active transportation,remainder__Rate of Active population,remainder__Rate of Daily Smokers,remainder__Food Insecurity binary,remainder__Overweight,remainder__Obese,remainder__Instability_Deprivation,remainder__log_unemployment_rate,remainder__log_recent_immigrant_rate,remainder__log_median_age,remainder__log_average_income
99,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.871364512,0.0,37.4877,13.4391,94.5843,1.0,2.698698313,0.0,52.7264,47.0544,5.7302,0.0,35.7346,13.145,0.0,1.8562979903656263,3.4736916715783623,3.4995332823830174,11.69773860103434
100,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.869533448,0.0,36.3412,10.6289,97.715,1.0,2.669301737,0.0,56.0425,50.6792,3.9195,0.0,27.3176,12.246,0.0,2.4159137783010487,2.5992169959654112,3.5467396869528134,11.707842332594861
101,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.875701222,0.0,43.6664,9.4763,97.2228,1.0,2.71416412,0.0,51.3233,45.8879,5.2674,0.0,38.8581,14.6768,0.0,2.066862759472976,2.554883481471748,3.5085558999826545,11.724953322835978
102,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.888093085,0.0,37.835,12.5325,93.9433,1.0,2.707677765,0.0,52.494,47.7474,4.9315,0.0,38.588,13.3199,0.0,2.128231705849268,2.520555285534258,3.5115454388310208,11.70608814221511
103,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.872565488,0.0,30.0242,14.8875,96.21,1.0,2.701212251,0.0,57.4905,51.9633,3.673,0.0,23.6175,11.1591,0.0,2.1400661634962708,2.803578538926525,3.5667118201397288,11.72016888612314
104,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.902301918,0.0,37.343,7.4552,94.358,1.0,2.725799357,0.0,50.7434,46.8116,5.2685,0.0,41.4393,13.2921,0.0,1.824549292051046,3.231385254670238,3.5524868292083815,11.853849405892877
105,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.878790752,0.0,32.9234,7.0588,93.9441,1.0,2.703914528,0.0,52.0696,47.8024,4.9192,0.0,31.6507,13.2862,0.0,2.2925347571405443,2.50526467837588,3.5667118201397288,11.859797703604604
106,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.839211513,0.0,38.4996,21.7895,94.0359,1.0,2.658495578,0.0,60.7873,52.9859,4.4138,0.0,29.8436,11.3087,0.0,2.4849066497880004,3.5209044910269034,3.505557396986398,11.60018242905088
107,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.876072469,0.0,34.8232,7.8993,95.0352,1.0,2.693685608,0.0,51.9089,47.0517,4.6876,0.0,31.3299,12.8843,0.0,2.1162555148025524,3.1113930588292735,3.5380565643793527,11.745700718955295
108,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.894479991,0.0,31.8728,7.6965,96.1746,1.0,2.660907705,0.0,54.7908,50.3838,3.6786,0.0,24.8754,11.5619,0.0,2.2082744135228043,2.5760034201818782,3.5263605246161616,11.750145323380972
109,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.851050546,0.0,39.3418,9.3487,89.3286,1.0,2.728371777,0.0,47.0589,47.9041,5.0413,0.0,30.633,12.7213,1.0,2.3978952727983707,2.6332188904792067,3.616308761279101,11.91233690991157
110,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.86171068,0.0,40.7514,8.1988,96.3114,1.0,2.685922192,0.0,52.2819,47.3852,5.4313,0.0,34.7586,13.6234,1.0,1.7578579175523736,3.090683297960646,3.5496173867804286,11.767493570520003
111,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.8711338,0.0,44.6684,12.3312,90.3284,1.0,2.71437785,0.0,50.443,47.1649,5.963,0.0,41.4559,15.6581,0.0,2.1041341542702074,3.497579713778454,3.481240089335692,11.724397804693025
112,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.909536939,0.0,46.9186,6.3221,92.0303,1.0,2.723889089,0.0,50.9292,47.3293,4.6007,0.0,41.9247,14.2038,0.0,2.0541237336955462,3.2147272313418673,3.5524868292083815,11.969175488629984
113,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.866860384,0.0,49.39,18.5382,81.513,1.0,2.750229655,0.0,52.214,49.2884,4.423,0.0,41.0708,15.0491,0.0,2.1400661634962708,3.4716682714528346,3.5610460826040513,11.834792212389509
